1    :  A-LiuCheNGJiN       , 积分： 897.52  (单日浮动：-16.73), 赛季kpm: 3.0, 游玩时长(小时): 48.6
13132:  jemsale             , 积分： 103.43  (单日浮动：  3.43), 赛季kpm: 0.3, 游玩时长(小时): 0.3
13133:  2259685764          , 积分： 103.43  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 0.4
13134:  zBaoKunn            , 积分： 103.43  (单日浮动：  3.43), 赛季kpm: 0.5, 游玩时长(小时): 0.1
13135:  100000607           , 积分： 103.43  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 0.4
13136:  fxp1974             , 积分： 103.43  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 0.3
13137:  ZYLookMe            , 积分： 103.43  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 0.3
13138:  CaiXUKuNn6666       , 积分： 103.43  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 0.4
13139:  kejuetaxiang        , 积分： 103.43  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 0.4
13140:  KuroNekoBear        , 积分： 103.43  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 0.3
13141:  tikubibakuhatu      , 积分： 103.42  (单日浮动：  0.00), 赛季kpm: 0.1, 游玩时长(小时): 0.4
13142:  erdwi               , 积分： 103.42  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 0.3
13143:  WallnutMann         , 积分： 103.42  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 0.4
13144:  hcgjbgj666555       , 积分： 103.42  (单日浮动：  0.00), 赛季kpm: 0.1, 游玩时长(小时): 0.3
13145:  yunguoyue           , 积分： 103.42  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 0.4
13146:  kusanali111         , 积分： 103.42  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 0.4
13147:  xianlin666          , 积分： 103.42  (单日浮动：  0.00), 赛季kpm: 1.0, 游玩时长(小时): 0.2
13148:  jkdffgh             , 积分： 103.42  (单日浮动：  0.00), 赛季kpm: 0.1, 游玩时长(小时): 0.4
13149:  Ken_Michael_Too     , 积分： 103.42  (单日浮动：  0.00), 赛季kpm: 0.8, 游玩时长(小时): 0.2
13150:  qi71790213          , 积分： 103.42  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 0.4
13151:  X5412               , 积分： 103.42  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 0.4
13152:  guanxing78786       , 积分： 103.42  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 0.4
13153:  zxs95               , 积分： 103.42  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 0.4
13154:  290096              , 积分： 103.42  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 0.3
13155:  SRZ123              , 积分： 103.42  (单日浮动：  0.00), 赛季kpm: 0.1, 游玩时长(小时): 0.5
13156:  yuan00123           , 积分： 103.42  (单日浮动：  0.00), 赛季kpm: 0.0, 游玩时长(小时): 0.5
13157:  OldLi527            , 积分： 103.41  (单日浮动：  0.00), 赛季kpm: 0.1, 游玩时长(小时): 0.5
13158:  zhengjiuzheyyds     , 积分： 103.41  (单日浮动：  0.00), 赛季kpm: 0.9, 游玩时长(小时): 0.2
13159:  Cxuanhong           , 积分： 103.41  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 0.4
13160:  HandSomeJoker233    , 积分： 103.41  (单日浮动：  3.41), 赛季kpm: 1.1, 游玩时长(小时): 0.1
13161:  -scalpel-2233       , 积分： 103.41  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 0.4
13162:  ohh5656             , 积分： 103.41  (单日浮动：  0.00), 赛季kpm: 0.0, 游玩时长(小时): 0.4
13163:  WangDayeYYDS        , 积分： 103.41  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 0.3
13164:  281330              , 积分： 103.41  (单日浮动：  0.00), 赛季kpm: 0.8, 游玩时长(小时): 0.3
13165:  Asanging            , 积分： 103.41  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 0.3
13166:  18709516287         , 积分： 103.41  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 0.4
13167:  LFHmy000            , 积分： 103.41  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 0.4
13168:  W-Solid             , 积分： 103.41  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 0.4
13169:  memedai2            , 积分： 103.40  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 0.4
13170:  Guess4849           , 积分： 103.40  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 0.4
13171:  jkmilk23            , 积分： 103.40  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 0.4
13172:  LAO-BA-POPO         , 积分： 103.40  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 0.3
13173:  zuiqianglongwang    , 积分： 103.40  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 0.3
13174:  woshionibaba        , 积分： 103.40  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 0.4
13175:  CaiT6666            , 积分： 103.40  (单日浮动：  0.00), 赛季kpm: 1.6, 游玩时长(小时): 0.2
13176:  liu29x5             , 积分： 103.40  (单日浮动：  0.00), 赛季kpm: 1.1, 游玩时长(小时): 0.2
13177:  0409z               , 积分： 103.40  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 0.3
13178:  duhangyuyyds        , 积分： 103.40  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 0.4
13179:  strike16088         , 积分： 103.40  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 0.4
13180:  1328448             , 积分： 103.40  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 0.1
13181:  Lcylcyll            , 积分： 103.40  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 0.4
13182:  CHH147369           , 积分： 103.40  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 0.4
13183:  cancancancanneed    , 积分： 103.40  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 0.3
13184:  NeysHooing          , 积分： 103.40  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 0.4
13185:  WananPDD            , 积分： 103.40  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 0.3
13186:  Jackey10veeeee      , 积分： 103.39  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 0.3
13187:  hip123              , 积分： 103.39  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 0.4
13188:  awen272815          , 积分： 103.39  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 0.4
13189:  xhcl258123          , 积分： 103.39  (单日浮动：  0.00), 赛季kpm: 0.1, 游玩时长(小时): 0.4
13190:  babynapper1949      , 积分： 103.39  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 0.2
13191:  fallere001          , 积分： 103.39  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 0.4
13192:  ffhhsdu             , 积分： 103.39  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 0.4
13193:  shiningknife        , 积分： 103.39  (单日浮动：  3.39), 赛季kpm: 0.6, 游玩时长(小时): 0.4
13194:  22116290            , 积分： 103.39  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 0.4
13195:  Mr_Zhang4463        , 积分： 103.39  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 0.5
13196:  13655398296         , 积分： 103.39  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 0.4
13197:  3097263642          , 积分： 103.39  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 0.4
13198:  SOFTwaremeowha      , 积分： 103.39  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 0.4
13199:  supermeYHM          , 积分： 103.39  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 0.4
13200:  2672779873          , 积分： 103.39  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 0.1
13201:  HGN012              , 积分： 103.39  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 0.4
13202:  hangoverbloom       , 积分： 103.39  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 0.2
13203:  linmu-74            , 积分： 103.38  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 0.3
13204:  AlmightyBook        , 积分： 103.38  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 0.4
13205:  shuedesf            , 积分： 103.38  (单日浮动：  0.00), 赛季kpm: 0.0, 游玩时长(小时): 0.4
13206:  jingguo12           , 积分： 103.38  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 0.4
13207:  sunhak100           , 积分： 103.38  (单日浮动：  0.00), 赛季kpm: 1.5, 游玩时长(小时): 0.2
13208:  DuanhongyiQ         , 积分： 103.38  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 0.5
13209:  windburn1           , 积分： 103.38  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 0.3
13210:  f7ssn6m1v53h        , 积分： 103.38  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 0.4
13211:  yqsml               , 积分： 103.38  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 0.4
13212:  awdwadaawdwa        , 积分： 103.38  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 0.4
13213:  woflong             , 积分： 103.38  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 0.4
13214:  huanxi12            , 积分： 103.38  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 0.4
13215:  skccym              , 积分： 103.38  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 0.4
13216:  sippaphass          , 积分： 103.37  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 0.3
13217:  lpl2022             , 积分： 103.37  (单日浮动：  0.00), 赛季kpm: 0.8, 游玩时长(小时): 0.4
13218:  35298855            , 积分： 103.37  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 0.4
13219:  20100107wzh         , 积分： 103.37  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 0.4
13220:  OwlTreebis          , 积分： 103.37  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 0.3
13221:  jjcsjk              , 积分： 103.37  (单日浮动：  0.00), 赛季kpm: 0.8, 游玩时长(小时): 0.3
13222:  xiongqirr           , 积分： 103.37  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 0.3
13223:  lishenyu            , 积分： 103.37  (单日浮动：  3.37), 赛季kpm: 0.3, 游玩时长(小时): 0.4
13224:  xiaotian20041203    , 积分： 103.37  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 0.4
13225:  immortaltanto       , 积分： 103.37  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 0.3
13226:  ADSFXVC             , 积分： 103.36  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 0.3
13227:  gudenw2             , 积分： 103.36  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 0.3
13228:  xiaosao666          , 积分： 103.36  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 0.3
13229:  envirke             , 积分： 103.36  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 0.3
13230:  zhaozhenze          , 积分： 103.36  (单日浮动：  0.00), 赛季kpm: 0.1, 游玩时长(小时): 0.4
13231:  sovtank1            , 积分： 103.36  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 0.4
13232:  maksimella          , 积分： 103.36  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 0.4
13233:  StarTravelNote      , 积分： 103.36  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 0.3
13234:  crikok              , 积分： 103.36  (单日浮动：  0.00), 赛季kpm: 0.1, 游玩时长(小时): 0.3
13235:  Kao0Bei             , 积分： 103.36  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 0.3
13236:  Gang_WY             , 积分： 103.36  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 0.3
13237:  yoshy54             , 积分： 103.36  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 0.3
13238:  666666666zzy        , 积分： 103.36  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 0.4
13239:  yurokin77           , 积分： 103.36  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 0.4
13240:  zttao66             , 积分： 103.36  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 0.2
13241:  orange_fatfat       , 积分： 103.36  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 0.1
13242:  1564234             , 积分： 103.35  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 0.4
13243:  xieyian             , 积分： 103.35  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 0.4
13244:  ArditoXXIX          , 积分： 103.35  (单日浮动：  0.00), 赛季kpm: 0.1, 游玩时长(小时): 0.4
13245:  hugw66              , 积分： 103.35  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 0.4
13246:  zyzzmmp             , 积分： 103.35  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 0.4
13247:  carlson22           , 积分： 103.35  (单日浮动：  0.00), 赛季kpm: 0.8, 游玩时长(小时): 0.1
13248:  YQGCY               , 积分： 103.35  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 0.4
13249:  TangLuoyang1992     , 积分： 103.35  (单日浮动：  0.00), 赛季kpm: 0.9, 游玩时长(小时): 0.3
13250:  yanyvv              , 积分： 103.35  (单日浮动：  3.35), 赛季kpm: 0.4, 游玩时长(小时): 0.2
13251:  ZNCASD              , 积分： 103.35  (单日浮动：  0.00), 赛季kpm: 0.1, 游玩时长(小时): 0.3
13252:  AK4362              , 积分： 103.35  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 0.3
13253:  XiaoMiaonb          , 积分： 103.35  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 0.4
13254:  roki_vulovicc       , 积分： 103.35  (单日浮动：  0.00), 赛季kpm: 0.9, 游玩时长(小时): 0.2
13255:  qinqiu139           , 积分： 103.35  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 0.4
13256:  1829640688          , 积分： 103.35  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 0.4
13257:  benlei2005          , 积分： 103.35  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 0.4
13258:  raki300066          , 积分： 103.35  (单日浮动：  0.00), 赛季kpm: 0.8, 游玩时长(小时): 0.2
13259:  xiao121aa           , 积分： 103.34  (单日浮动：  0.00), 赛季kpm: 0.9, 游玩时长(小时): 0.3
13260:  youlinMe            , 积分： 103.34  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 0.3
13261:  guozhiqiang12345    , 积分： 103.34  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 0.3
13262:  Solitaryoas         , 积分： 103.34  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 0.2
13263:  zykwl               , 积分： 103.34  (单日浮动：  0.00), 赛季kpm: 0.9, 游玩时长(小时): 0.1
13264:  brodahmakan         , 积分： 103.34  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 0.3
13265:  YMXlook             , 积分： 103.34  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 0.4
13266:  1433718             , 积分： 103.34  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 0.3
13267:  2079168931          , 积分： 103.34  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 0.4
13268:  tomotomotomohiro    , 积分： 103.34  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 0.4
13269:  xswlxswlxswl21      , 积分： 103.34  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 0.3
13270:  ldwywqz             , 积分： 103.34  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 0.3
13271:  shuishui33          , 积分： 103.34  (单日浮动：  3.34), 赛季kpm: 0.4, 游玩时长(小时): 0.3
13272:  mmj809              , 积分： 103.34  (单日浮动：  0.00), 赛季kpm: 0.8, 游玩时长(小时): 0.3
13273:  kiannah             , 积分： 103.34  (单日浮动：  0.00), 赛季kpm: 1.9, 游玩时长(小时): 0.1
13274:  Henriette_Ver0      , 积分： 103.34  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 0.5
13275:  1871800             , 积分： 103.34  (单日浮动：  0.00), 赛季kpm: 0.9, 游玩时长(小时): 0.4
13276:  JINDAO0222          , 积分： 103.34  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 0.4
13277:  NagasakiMei         , 积分： 103.34  (单日浮动：  0.00), 赛季kpm: 0.9, 游玩时长(小时): 0.3
13278:  zyxzx20060710       , 积分： 103.34  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 0.3
13279:  Agoodcook1          , 积分： 103.33  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 0.3
13280:  rhsdl333            , 积分： 103.33  (单日浮动：  0.00), 赛季kpm: 1.3, 游玩时长(小时): 0.2
13281:  dbkbl               , 积分： 103.33  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 0.1
13282:  7qe925cd2yhe        , 积分： 103.33  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 0.3
13283:  AfricanKangFuTJ     , 积分： 103.33  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 0.4
13284:  takanaxirika        , 积分： 103.33  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 0.3
13285:  zhissz              , 积分： 103.33  (单日浮动：  0.00), 赛季kpm: 0.0, 游玩时长(小时): 0.4
13286:  BAOTRYUT            , 积分： 103.33  (单日浮动：  0.00), 赛季kpm: 0.1, 游玩时长(小时): 0.4
13287:  AVU204              , 积分： 103.33  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 0.3
13288:  cixianwuxiang       , 积分： 103.33  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 0.3
13289:  dxhcg               , 积分： 103.33  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 0.4
13290:  OKWAPC              , 积分： 103.33  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 0.4
13291:  MGS_Keen            , 积分： 103.33  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 0.4
13292:  cqhyyds             , 积分： 103.32  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 0.4
13293:  since3023           , 积分： 103.32  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 0.3
13294:  hueofv              , 积分： 103.32  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 0.4
13295:  NSCSRZ              , 积分： 103.32  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 0.3
13296:  hedan23             , 积分： 103.32  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 0.1
13297:  xiaoyushui2022      , 积分： 103.32  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 0.3
13298:  00720881            , 积分： 103.32  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 0.3
13299:  wojiaogaohaobo      , 积分： 103.32  (单日浮动：  0.00), 赛季kpm: 0.1, 游玩时长(小时): 0.4
13300:  shishuichuadewo     , 积分： 103.32  (单日浮动：  0.00), 赛季kpm: 0.1, 游玩时长(小时): 0.4
13301:  LGGG22              , 积分： 103.32  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 0.3
13302:  batman786111        , 积分： 103.32  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 0.3
13303:  ronwe123            , 积分： 103.32  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 0.3
13304:  laowanxiujiao       , 积分： 103.32  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 0.3
13305:  sdifkj              , 积分： 103.32  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 0.3
13306:  pdz272488           , 积分： 103.32  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 0.4
13307:  YuzurihaInoriJi     , 积分： 103.32  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 0.3
13308:  ChenSirNice         , 积分： 103.32  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 0.1
13309:  fdywf               , 积分： 103.31  (单日浮动：  0.00), 赛季kpm: 0.0, 游玩时长(小时): 0.4
13310:  3090214270OJL       , 积分： 103.31  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 0.4
13311:  modayuu             , 积分： 103.31  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 0.3
13312:  15106442            , 积分： 103.31  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 0.2
13313:  sociese             , 积分： 103.31  (单日浮动：  0.00), 赛季kpm: 0.8, 游玩时长(小时): 0.2
13314:  ZHUOCHEN            , 积分： 103.31  (单日浮动：  0.00), 赛季kpm: 0.0, 游玩时长(小时): 0.3
13315:  stasue              , 积分： 103.31  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 0.4
13316:  benglong            , 积分： 103.31  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 0.4
13317:  koverdwa            , 积分： 103.31  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 0.5
13318:  hellove             , 积分： 103.31  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 0.3
13319:  GANPUPUPU           , 积分： 103.31  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 0.4
13320:  ZzcIsusu            , 积分： 103.31  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 0.2
13321:  cyjxx2              , 积分： 103.31  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 0.5
13322:  kbzyyc              , 积分： 103.31  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 0.1
13323:  fghdtyuf            , 积分： 103.30  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 0.3
13324:  darkness9680        , 积分： 103.30  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 0.4
13325:  YangBCDD            , 积分： 103.30  (单日浮动：  0.00), 赛季kpm: 0.0, 游玩时长(小时): 0.5
13326:  r1nimei1            , 积分： 103.30  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 0.4
13327:  RealMadridCHEN7     , 积分： 103.30  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 0.4
13328:  PPTTXJT             , 积分： 103.30  (单日浮动：  0.00), 赛季kpm: 0.8, 游玩时长(小时): 0.3
13329:  petcall             , 积分： 103.30  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 0.4
13330:  18315272            , 积分： 103.30  (单日浮动：  0.00), 赛季kpm: 0.1, 游玩时长(小时): 0.5
13331:  Metal-04            , 积分： 103.30  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 0.3
13332:  wanf0313            , 积分： 103.29  (单日浮动：  0.00), 赛季kpm: 0.8, 游玩时长(小时): 0.4
13333:  kinan423            , 积分： 103.29  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 0.3
13334:  hmyyyds11           , 积分： 103.29  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 0.3
13335:  R9141525298376      , 积分： 103.29  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 0.1
13336:  Xdhdxjjdsbdf        , 积分： 103.29  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 0.4
13337:  PEEK233             , 积分： 103.29  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 0.5
13338:  wang_yu_bob         , 积分： 103.29  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 0.3
13339:  Demonslly           , 积分： 103.29  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 0.2
13340:  touki233            , 积分： 103.29  (单日浮动：  0.00), 赛季kpm: 1.2, 游玩时长(小时): 0.2
13341:  hayabusamadako      , 积分： 103.29  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 0.1
13342:  54TingTing          , 积分： 103.29  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 0.4
13343:  yuzihelala          , 积分： 103.29  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 0.4
13344:  227714              , 积分： 103.29  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 0.4
13345:  xiadashi            , 积分： 103.29  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 0.4
13346:  cowboy289111        , 积分： 103.28  (单日浮动：  0.00), 赛季kpm: 0.1, 游玩时长(小时): 0.4
13347:  Emofffi             , 积分： 103.28  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 0.2
13348:  MrHUIQwQ            , 积分： 103.28  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 0.3
13349:  fraudyca            , 积分： 103.28  (单日浮动：  0.00), 赛季kpm: 1.0, 游玩时长(小时): 0.2
13350:  2959985614          , 积分： 103.28  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 0.4
13351:  chencc1113          , 积分： 103.28  (单日浮动：  0.00), 赛季kpm: 0.1, 游玩时长(小时): 0.5
13352:  kometya1            , 积分： 103.28  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 0.4
13353:  Ergawan_ACE_OwO     , 积分： 103.28  (单日浮动：  0.00), 赛季kpm: 0.8, 游玩时长(小时): 0.4
13354:  WKAC2323            , 积分： 103.28  (单日浮动：  0.00), 赛季kpm: 0.9, 游玩时长(小时): 0.3
13355:  BIU-FrogDragon      , 积分： 103.28  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 0.3
13356:  Qq1877454564        , 积分： 103.28  (单日浮动：  3.28), 赛季kpm: 0.9, 游玩时长(小时): 0.3
13357:  9499216hyz          , 积分： 103.28  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 0.4
13358:  wasainiubi          , 积分： 103.28  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 0.4
13359:  Dudehead_II         , 积分： 103.27  (单日浮动：  3.27), 赛季kpm: 0.6, 游玩时长(小时): 0.2
