1    :  A-LiuCheNGJiN       , 积分： 897.52  (单日浮动：-16.73), 赛季kpm: 3.0, 游玩时长(小时): 48.6
208  :  AkaLaSaila          , 积分： 379.20  (单日浮动：  1.00), 赛季kpm: 1.0, 游玩时长(小时): 24.1
209  :  DoIzsKc_            , 积分： 378.96  (单日浮动：  0.00), 赛季kpm: 3.1, 游玩时长(小时): 4.7
210  :  EXCJ1245            , 积分： 378.34  (单日浮动：  8.69), 赛季kpm: 1.2, 游玩时长(小时): 10.6
211  :  Yuwushi             , 积分： 378.06  (单日浮动：  0.00), 赛季kpm: 1.8, 游玩时长(小时): 4.8
212  :  adobecreative2      , 积分： 377.14  (单日浮动：  0.00), 赛季kpm: 1.6, 游玩时长(小时): 9.9
213  :  YangLaoFANG         , 积分： 374.25  (单日浮动：  0.00), 赛季kpm: 1.5, 游玩时长(小时): 11.5
214  :  -SamaranchV-        , 积分： 373.89  (单日浮动：  0.00), 赛季kpm: 3.1, 游玩时长(小时): 3.7
215  :  qingtian128         , 积分： 373.30  (单日浮动： 17.14), 赛季kpm: 2.0, 游玩时长(小时): 5.3
216  :  LemonMintSugar      , 积分： 372.88  (单日浮动：  3.39), 赛季kpm: 1.4, 游玩时长(小时): 12.8
217  :  Emmocean            , 积分： 372.84  (单日浮动：  0.00), 赛季kpm: 1.9, 游玩时长(小时): 6.0
218  :  SmartCirno55        , 积分： 372.56  (单日浮动： 10.67), 赛季kpm: 1.1, 游玩时长(小时): 17.7
